pair_variables,pair_values_ordered,pair_position_class,permission_status,source_class,source_bucket,source_path,matched_tokens,csv_row_hit_count,text_line_hit_count,matched_fields,sample_context,promoted_to_source_law,promoted_to_admission
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_source_visibility.v1.csv,04_05 05_04,1,0,matched_tokens,B C 05 04 prefix_terminal_edge denied_visible_edge 48 17 9 17 5 04_05 05_04 labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_source_rule_probe_036_members.v1.csv,05_04,9,0,role_tokens,F0001 S0258 B=5 AND C=4 AND D=3 B C D 03 04 05 2 razor_small blocked_as_razor_small_until_proven 03 04 05 09 03_04 03_09 05_04 tuple_edge_609 tuple_edge_614 tuple_edge_921 false false,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_family_source_law_probe_035_families.v1.csv,04_05 05_04,19,0,family_key,F0001 roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921 9 9 B=5 AND C=4 AND D=3 | B=5 AND C=4 AND E=9 | B=5 AND D=3 | B=5 AND D=3 AND E=9 | B=5 AND E=9 | C=4 AND D=3 | C=4 AND D=3 AND E=9 | C,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_family_source_law_probe_035_members.v1.csv,04_05 05_04,80,0,family_key role_tokens,F0001 roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921 S0258 B=5 AND C=4 AND D=3 B C D 3 4 5 true 2 razor_small blocked_as_razor_small_until_proven 03 04 05 09 03_04 03_09 05_04 tuple_edge_6,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,deferred,labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,04_05 05_04,16,0,candidate_id role_pairs,1 77698 g900_deferred_gate_candidate_03_04_05_10_07 g900_deferred_gate_receipt_a7f3f5c379cf15bd 3 4 5 10 7 03_04 04_05 10_05 10_07 tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 0 30 0 0 same repair same ,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,deferred,labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv,04_05 05_04,16,0,role_pairs,"1 77698 3 4 5 10 7 03_04 04_05 10_05 10_07 tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 true requires_own_future_gate_receipt 0 1 2 7 4 0 1 2 7 4 ((0, 1), (0, 10), (1, 2), (10, 13)) 13 14 0 5 2 14 0 1 6",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,deferred,labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv,04_05 05_04,16,0,expected_role_pairs role_pairs,1 77698 3 4 5 10 7 03_04 04_05 10_05 10_07 tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 03_04 04_05 10_05 10_07 3:23 4:54 10:23 10:24 4:23 5:24 5:23 7:24 0 30 0 0 0 30 0 0 same repair same same same rep,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,deferred,labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_worklist_018a.v1.csv,04_05 05_04,16,0,role_pairs,1 77698 3 4 5 10 7 03_04 04_05 10_05 10_07 tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 0 30 0 0 same repair same same needs_new_gate_receipt false false false false deferred_gate_candidate run_future_g,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,other,labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_function_search_029_field_census.v1.csv,04_05,2,0,examples,role_pairs role candidate_choice_variable identity_like_excluded too sharp or row-identity-like 71 1 1 71 13 0 03_04 04_05 10_05 10_07 | 03_04 04_05 10_05 10_11 | 03_04 04_05 10_05 10_14 | 03_04 04_05 14_05 14_08 | 03_04,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,other,labs/g900_observatory/artifacts/csv/g900_transport_frontier_choice_variable_inventory_028_candidate_fields.v1.csv,04_05,2,0,examples,role_pairs role_pairs role candidate_choice_variable 71 71 71 13 0 03_04 04_05 10_05 10_07 | 03_04 04_05 10_05 10_11 | 03_04 04_05 10_05 10_14 | 03_04 04_05 14_05 14_08 | 03_04 04_05 14_05 14_10 | 03_04 04_05 14_05 14_13,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,permission,labs/g900_observatory/artifacts/csv/g900_transport_permission_gate_family_filter_016_candidates.v1.csv,04_05 05_04,16,0,role_pairs,77698 3 4 5 10 7 03_04 04_05 10_05 10_07 tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 0 30 0 0 same repair same same needs_new_gate_receipt false false false false,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,permission,labs/g900_observatory/artifacts/csv/g900_transport_permission_sharpness_audit_021_closest_candidates.v1.csv,04_05 05_04,16,0,role_pairs,77748 3 4 5 14 13 03_04 04_05 14_05 14_13 tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292 2 2 0 0 0 81 needs_new_gate_receipt,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,successor_rule,labs/g900_observatory/artifacts/csv/g900_transport_successor_rule_family_filter_015_profile_matches.v1.csv,04_05 05_04,16,0,role_pairs,77698 3 4 5 10 7 03_04 04_05 10_05 10_07 tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 3:23 4:54 10:23 10:24 4:23 5:24 5:23 7:24 0 30 0 0 same repair same same false false,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,channel_candidate,labs/g900_observatory/artifacts/json/g900_channel_candidate_classifier_001.v1.json,04_05,0,4,,"      ""source_rail_id"": ""slot_pair_04_05_boundary_carrier"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,channel_source,labs/g900_observatory/artifacts/json/g900_channel_source_inventory_001.v1.json,04_05,0,4,,"      ""source_rail_id"": ""slot_pair_04_05_boundary_carrier"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,other_surface,other,labs/g900_observatory/artifacts/json/g900_count_signature_class_anatomy_001.v1.json,04_05,0,20,,"      ""sample_hit_signature"": ""slot_00_internal_carrier:9:10;slot_04_internal_carrier:8:4;slot_pair_00_04_boundary_carrier:17:3;slot_pair_00_05_boundary_carrier:13:3;slot_pair_00_01_boundary_carrier:12:3;slot_pair_00_06_",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,endpoint_incidence,labs/g900_observatory/artifacts/json/g900_endpoint_incidence_source_reconstruction_001.v1.json,04_05,0,7,,"        ""rail_id"": ""slot_pair_04_05_boundary_carrier"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,full60,labs/g900_observatory/artifacts/json/g900_full60_hit_pair_g15_subgraph_audit_001.v1.json,04_05,0,1,,"      ""04_05"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,other_surface,other,labs/g900_observatory/artifacts/json/g900_g15_cube_label_source_search_001.v1.json,04_05,0,1,,"          ""excerpt"": ""{\""all_g15_pair_count\"": 30, \""hit_equals_boundary_package_pairs\"": true, \""hit_pair_count\"": 9, \""hit_pairs\"": [\""02_03\"", \""02_08\"", \""03_09\"", \""05_10\"", \""05_14\"", \""06_12\"", \""06_13\"", \""07_11\",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,other_surface,projection_exception,labs/g900_observatory/artifacts/json/g900_projection_exception_handles_001.v1.json,04_05,0,2,,"      ""hit_signature"": ""slot_04_internal_carrier:6:4;slot_05_internal_carrier:6:4;slot_00_internal_carrier:5:4;slot_01_internal_carrier:5:4;slot_pair_04_05_boundary_carrier:12:2;slot_pair_00_04_boundary_carrier:11:1;slot",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,other_surface,projection_exception,labs/g900_observatory/artifacts/json/g900_projection_exception_neighbor_contrast_001.v1.json,04_05,0,3,,"          ""rail_id"": ""slot_pair_04_05_boundary_carrier"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,return_cell,labs/g900_observatory/artifacts/json/g900_return_cell_selector_field_origin_audit_001.v1.json,04_05,0,1,,"      ""04_05"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,return_cell,labs/g900_observatory/artifacts/json/g900_return_cell_transition_length_origin_audit_001.v1.json,04_05,0,1,,"      ""04_05"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,root_smoke,labs/g900_observatory/artifacts/json/g900_root_smoke_signature_census_001.v1.json,04_05,0,20,,"      ""signature"": ""slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot_pair_05_10_boundary_carrier:10:1;slot_pair_05_14_boundary_carrier:10:1;slot_pai",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,slot_pair,labs/g900_observatory/artifacts/json/g900_slot_pair_boundary_carrier_census_v0.1.json,04_05,0,1,,"      ""id"": ""slot_pair_04_05_boundary_carrier"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/json/g900_transport_choice_construction_context_family_census_034.v1.json,04_05 05_04,0,18,,"      ""family_key"": ""roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/json/g900_transport_choice_f0001_missing_prefix_edge_probe_037.v1.json,05_04,0,2,,"      ""05_04""",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/json/g900_transport_choice_f0001_source_rule_probe_036.v1.json,05_04,0,2,,"    ""family_key"": ""roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/json/g900_transport_choice_family_source_law_probe_035.v1.json,04_05 05_04,0,9,,"      ""family_key"": ""roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,deferred,labs/g900_observatory/artifacts/json/g900_transport_deferred_gate_frontier_worklist_018a.v1.json,04_05 05_04,0,16,,"      ""role_pairs"": ""03_04 04_05 10_05 10_07"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,prior_transport_surface,permission,labs/g900_observatory/artifacts/json/g900_transport_permission_sharpness_audit_021.v1.json,04_05,0,1,,"      ""role_pairs"": ""03_04 04_05 14_05 14_13"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,carrier,labs/g900_observatory/data/g900_carriers.v0.1.json,04_05,0,1,,"          ""id"": ""slot_pair_04_05_boundary_carrier"",",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/notes/g900_transport_choice_construction_context_family_census_034.md,04_05 05_04,0,4,,- `F0001` rows `9` status `repeated_construction_memory_no_law` key `roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921`,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/notes/g900_transport_choice_f0001_missing_prefix_edge_probe_037.md,05_04,0,2,,Role tokens: `03_04 03_09 05_04`,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/notes/g900_transport_choice_f0001_source_rule_probe_036.md,05_04,0,1,,F0001 role tokens: `03_04 03_09 05_04`,false,false
B D,05 03,skip_one_jump,allowed_local_member,construction_surface,candidate_family_census_014,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,03_05 05_03,75,0,role_pairs,2 0 1 2 3 5 00_01 01_02 03_02 03_05 3 DE:missing_target_anchor_edge,false,false
B D,05 03,skip_one_jump,allowed_local_member,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_pair_profile.v1.csv,03_05 05_03,1,0,direct_edge_token reverse_edge_token,B D 05 03 03 05 2 skip_one_jump false false false true false 05_03 03_05 allowed_local_member false false,false,false
B D,05 03,skip_one_jump,allowed_local_member,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_source_visibility.v1.csv,05_03,1,0,matched_tokens,B D 05 03 skip_one_jump allowed_local_member 1 1 0 0 0 05_03 labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv visible_in_source_context,false,false
B E,05 09,long_jump,allowed_local_member,construction_surface,candidate_family_census_014,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,05_09 09_05,51,0,role_pairs,5481 0 4 3 9 5 00_04 04_03 09_03 09_05 3 DE:missing_target_anchor_edge,false,false
B E,05 09,long_jump,allowed_local_member,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_pair_profile.v1.csv,05_09 09_05,1,0,direct_edge_token reverse_edge_token,B E 05 09 05 09 3 long_jump false false false true false 05_09 09_05 allowed_local_member false false,false,false
B E,05 09,long_jump,allowed_local_member,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_source_visibility.v1.csv,05_09,1,0,matched_tokens,B E 05 09 long_jump allowed_local_member 1 1 0 0 0 05_09 labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv visible_in_source_context,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,construction_surface,channel_candidate,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv,03_04,12,0,source_evidence source_rail_id target_rail_id,20 boundary_to_slot_internal_incidence endpoint_incidence_handle structural_incidence not_admitted_obvious_handle slot_pair_03_04_boundary_carrier slot_03_internal_carrier slot_pair_boundary_carriers slot_internal_carrie,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,construction_surface,channel_source,labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv,03_04,12,0,evidence source_rail_id target_rail_id,boundary_to_slot_internal_incidence slot_pair_03_04_boundary_carrier slot_03_internal_carrier boundary carrier names one endpoint slot carried by this internal carrier slot_pair=03_04 endpoint_slot=03 False,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,construction_surface,edge_limit_phase,labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv,03_04,89,0,primary_rail_id,4:0 4 0 1 2 1 1 1 3/4 slot_pair_03_04_boundary_carrier slot_pair_boundary_carriers 1 2 True False False,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,other_surface,edge_overlap,labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv,03_04,1,0,target_rail_id,119 support_overlap_handle support_overlap_handle edge_overlap not_admitted_needs_selector root_0_0_tuple_shell_depth_2 slot_pair_03_04_boundary_carrier source_provenance_scaffold slot_pair_boundary_carriers source_prove,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,other_surface,projection_exception,labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv,03_04,1,0,hit_signature,"slot_0_single_escape_to_4 0:14 0 14 4 slot_04_internal_carrier 4 6 31,30,17,4 31 30 17 4 slot_04_internal_carrier:6:4;slot_05_internal_carrier:6:4;slot_00_internal_carrier:5:4;slot_01_internal_carrier:5:4;slot_pair_04_05",false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,construction_surface,root_smoke,labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,03_04,343,0,hit_signature,"0:0 0 0 29 30 7 12 16 29,30,7,12 slot_00_internal_carrier:11:12;slot_pair_00_04_boundary_carrier:16:4;slot_pair_00_01_boundary_carrier:15:4;slot_pair_00_05_boundary_carrier:15:4;slot_pair_00_06_boundary_carrier:15:4;slot",false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,construction_surface,candidate_family_census_014,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,03_04 04_03,176,0,role_pairs,1 0 1 2 3 4 00_01 01_02 03_02 03_04 23 24 23 24 tuple_edge_2175 tuple_edge_76 tuple_edge_262 tuple_edge_612 0:53 1:54 3:53 3:24 1:23 2:24 2:23 4:24 false false,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,construction_surface,candidate_family_census_014,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,03_04 04_03,618,0,role_pairs,12 0 1 2 4 3 00_01 01_02 04_02 04_03 3 DC:missing_target_anchor_edge,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_construction_context_family_census_034_families.v1.csv,03_04 04_03,15,0,family_key sample_role_tokens,F0001 roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921 9 B=5 AND C=4 AND D=3 | B=5 AND C=4 AND E=9 | B=5 AND D=3 | B=5 AND D=3 AND E=9 | B=5 AND E=9 | C=4 AND D=3 | C=4 AND D=3 AND E=9 | C=4,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_construction_context_family_census_034_target_family_rows.v1.csv,03_04 04_03,63,0,family_key sample_role_tokens,S0049 A=10 AND D=3 A D 10 | 3 2 razor_small blocked_as_razor_small_until_proven construction_context_covisible_no_promotion roles=03_04 03_09 :: tuples=none g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_constructive_provenance_search_033_hits.v1.csv,03_04 04_03,44,0,token,S0130 A=4 AND D=14 04_03 construction_surface labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv primary_context_token,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_constructive_provenance_search_033_targets.v1.csv,03_04 04_03,63,0,sample_hit_paths sample_tokens,S0049 A=10 AND D=3 A D 10 | 3 2 razor_small blocked_as_razor_small_until_proven 52 54 249388 258625 2 0 2 105 12 57 15 2 construction_context_covisible_no_promotion false 03_04 03_09 construction_surface:labs/g900_observ,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_missing_prefix_edge_probe_037_f0001_edge.v1.csv,03_04,1,0,role_tokens,F0001 03_04 03_09 05_04 tuple_edge_609 tuple_edge_614 tuple_edge_921 B C D E 05 04 03 09 B C 04 05 05_04 true true true false missing_prefix_terminal_edge 43 16 1 false false,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_missing_prefix_edge_probe_037_family_omissions.v1.csv,03_04 04_03,14,0,family_key role_tokens,F0001 roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921 9 03_04 03_09 05_04 tuple_edge_609 tuple_edge_614 tuple_edge_921 03 04 05 09 05 09 B C D E 05 04 03 09 true true true 9 10 B C 04 05  t,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_pair_profile.v1.csv,03_04 04_03,1,0,direct_edge_token reverse_edge_token,C D 04 03 03 04 1 internal_adjacent_edge true false false true false 04_03 03_04 allowed_local_member false false,false,false
C D,04 03,internal_adjacent_edge,allowed_local_member,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_source_visibility.v1.csv,03_04 04_03,1,0,matched_tokens,C D 04 03 internal_adjacent_edge allowed_local_member 52 19 9 17 7 03_04 04_03 labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_sour,false,false
