frontier_index,candidate_index,candidate_id,candidate_receipt_id,A,B,C,D,E,role_pairs,q_edge_ids,delta_profile,class_profile,relative_to_C_signature,relative_to_B_signature,slot_delta_signature,gate_audit_status,obligation_pass_count,obligation_total_count,failed_obligations,new_permission_channel_admitted,new_information_transport_admitted,new_flux_witness_declared
30,164415,g900_deferred_gate_candidate_06_12_11_07_10,g900_deferred_gate_receipt_f0a82292b4000cc1,6,12,11,7,10,06_12 12_11 07_11 07_10,tuple_edge_1472 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,0 30 0 0,same repair same same,10 1 0 11 14,9 0 14 10 13,6 14 4 3,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
31,164445,g900_deferred_gate_candidate_06_12_11_10_05,g900_deferred_gate_receipt_649cea008718864e,6,12,11,10,5,06_12 12_11 10_11 10_05,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,0 30 0 0,same repair same same,10 1 0 14 9,9 0 14 13 8,6 14 1 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
32,164446,g900_deferred_gate_candidate_06_12_11_10_07,g900_deferred_gate_receipt_38d7e4de3c4bdcb1,6,12,11,10,7,06_12 12_11 10_11 10_07,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1760,0 30 0 0,same repair same same,10 1 0 14 11,9 0 14 13 10,6 14 1 12,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
33,164450,g900_deferred_gate_candidate_06_12_11_10_14,g900_deferred_gate_receipt_5209e3420c9dfa16,6,12,11,10,14,06_12 12_11 10_11 10_14,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_2587,0 30 0 0,same repair same same,10 1 0 14 3,9 0 14 13 2,6 14 1 4,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
34,186421,g900_deferred_gate_candidate_07_11_09_03_04,g900_deferred_gate_receipt_9bff6e9ca1fe4a57,7,11,9,3,4,07_11 11_09 03_09 03_04,tuple_edge_1759 tuple_edge_2308 tuple_edge_611 tuple_edge_612,0 30 0 0,same repair same same,13 2 0 9 10,11 0 13 7 8,4 13 6 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
35,186432,g900_deferred_gate_candidate_07_11_09_04_03,g900_deferred_gate_receipt_838b442431cdc8b8,7,11,9,4,3,07_11 11_09 04_09 04_03,tuple_edge_1759 tuple_edge_2308 tuple_edge_920 tuple_edge_612,0 30 0 0,same repair same same,13 2 0 10 9,11 0 13 8 7,4 13 5 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
36,186724,g900_deferred_gate_candidate_07_11_12_06_13,g900_deferred_gate_receipt_9df0c3d5c6c0d1ba,7,11,12,6,13,07_11 11_12 06_12 06_13,tuple_edge_1759 tuple_edge_2945 tuple_edge_1472 tuple_edge_1475,0 30 0 0,same repair same same,10 14 0 9 1,11 0 1 10 2,4 1 6 7,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
37,186765,g900_deferred_gate_candidate_07_11_12_13_06,g900_deferred_gate_receipt_5264c624cd2d911c,7,11,12,13,6,07_11 11_12 13_12 13_06,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_1475,0 30 0 0,same repair same same,10 14 0 1 9,11 0 1 2 10,4 1 14 8,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
38,186766,g900_deferred_gate_candidate_07_11_12_13_08,g900_deferred_gate_receipt_86706e130702fd4a,7,11,12,13,8,07_11 11_12 13_12 13_08,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,0 30 0 0,same repair same same,10 14 0 1 11,11 0 1 2 12,4 1 14 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
39,186769,g900_deferred_gate_candidate_07_11_12_13_14,g900_deferred_gate_receipt_0a56fd044f6b3b85,7,11,12,13,14,07_11 11_12 13_12 13_14,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,0 30 0 0,same repair same same,10 14 0 1 2,11 0 1 2 3,4 1 14 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
40,222404,g900_deferred_gate_candidate_09_03_08_13_06,g900_deferred_gate_receipt_4c1caed1a9be448b,9,3,8,13,6,09_03 03_08 13_08 13_06,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,0 30 0 0,same repair same same,1 10 0 5 13,6 0 5 10 3,9 5 10 8,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
41,222408,g900_deferred_gate_candidate_09_03_08_13_12,g900_deferred_gate_receipt_01eff208c711b7de,9,3,8,13,12,09_03 03_08 13_08 13_12,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,0 30 0 0,same repair same same,1 10 0 5 4,6 0 5 10 9,9 5 10 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
42,222409,g900_deferred_gate_candidate_09_03_08_13_14,g900_deferred_gate_receipt_057cba2d7c990464,9,3,8,13,14,09_03 03_08 13_08 13_14,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,0 30 0 0,same repair same same,1 10 0 5 6,6 0 5 10 11,9 5 10 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
43,222414,g900_deferred_gate_candidate_09_03_08_14_05,g900_deferred_gate_receipt_106a695483fd7ebe,9,3,8,14,5,09_03 03_08 14_08 14_05,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,0 30 0 0,same repair same same,1 10 0 6 12,6 0 5 11 2,9 5 9 6,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
44,222417,g900_deferred_gate_candidate_09_03_08_14_10,g900_deferred_gate_receipt_a8e5854c469592d9,9,3,8,14,10,09_03 03_08 14_08 14_10,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,0 30 0 0,same repair same same,1 10 0 6 2,6 0 5 11 7,9 5 9 11,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
45,222420,g900_deferred_gate_candidate_09_03_08_14_13,g900_deferred_gate_receipt_b69f422238b701a8,9,3,8,14,13,09_03 03_08 14_08 14_13,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,0 30 0 0,same repair same same,1 10 0 6 5,6 0 5 11 10,9 5 9 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
46,223691,g900_deferred_gate_candidate_09_04_05_10_07,g900_deferred_gate_receipt_e5c52681845e6d28,9,4,5,10,7,09_04 04_05 10_05 10_07,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,0 30 0 0,same repair same same,4 14 0 5 2,5 0 1 6 3,10 1 10 12,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
47,223693,g900_deferred_gate_candidate_09_04_05_10_11,g900_deferred_gate_receipt_c3a4cae1d4a3688a,9,4,5,10,11,09_04 04_05 10_05 10_11,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,0 30 0 0,same repair same same,4 14 0 5 6,5 0 1 6 7,10 1 10 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
48,223696,g900_deferred_gate_candidate_09_04_05_10_14,g900_deferred_gate_receipt_c7d029ace52a1299,9,4,5,10,14,09_04 04_05 10_05 10_14,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,0 30 0 0,same repair same same,4 14 0 5 9,5 0 1 6 10,10 1 10 4,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
49,223736,g900_deferred_gate_candidate_09_04_05_14_08,g900_deferred_gate_receipt_03cfb18888358c14,9,4,5,14,8,09_04 04_05 14_05 14_08,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,0 30 0 0,same repair same same,4 14 0 9 3,5 0 1 10 4,10 1 6 9,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
50,223737,g900_deferred_gate_candidate_09_04_05_14_10,g900_deferred_gate_receipt_99ca5de7b5ba3e31,9,4,5,14,10,09_04 04_05 14_05 14_10,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,0 30 0 0,same repair same same,4 14 0 9 5,5 0 1 10 6,10 1 6 11,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
51,223740,g900_deferred_gate_candidate_09_04_05_14_13,g900_deferred_gate_receipt_fa225886acb72eaf,9,4,5,14,13,09_04 04_05 14_05 14_13,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,0 30 0 0,same repair same same,4 14 0 9 8,5 0 1 10 9,10 1 6 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
52,249388,g900_deferred_gate_candidate_10_05_04_03_09,g900_deferred_gate_receipt_416b3786ea157a87,10,5,4,3,9,10_05 05_04 03_04 03_09,tuple_edge_1202 tuple_edge_921 tuple_edge_609 tuple_edge_614,0 30 0 0,same repair same same,6 1 0 14 5,5 0 14 13 4,10 14 1 6,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
53,249429,g900_deferred_gate_candidate_10_05_04_09_03,g900_deferred_gate_receipt_42bc3945ccf02625,10,5,4,9,3,10_05 05_04 09_04 09_03,tuple_edge_1202 tuple_edge_921 tuple_edge_920 tuple_edge_614,0 30 0 0,same repair same same,6 1 0 5 14,5 0 14 4 13,10 14 10 9,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
54,258625,g900_deferred_gate_candidate_10_11_09_03_04,g900_deferred_gate_receipt_1889034165f74741,10,11,9,3,4,10_11 11_09 03_09 03_04,tuple_edge_2584 tuple_edge_2308 tuple_edge_611 tuple_edge_612,0 30 0 0,same repair same same,1 2 0 9 10,14 0 13 7 8,1 13 6 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
55,258636,g900_deferred_gate_candidate_10_11_09_04_03,g900_deferred_gate_receipt_a55a9b653bd539ef,10,11,9,4,3,10_11 11_09 04_09 04_03,tuple_edge_2584 tuple_edge_2308 tuple_edge_920 tuple_edge_612,0 30 0 0,same repair same same,1 2 0 10 9,14 0 13 8 7,1 13 5 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
56,258796,g900_deferred_gate_candidate_10_11_12_06_13,g900_deferred_gate_receipt_15cf8257d0df4053,10,11,12,6,13,10_11 11_12 06_12 06_13,tuple_edge_2584 tuple_edge_2945 tuple_edge_1472 tuple_edge_1475,0 30 0 0,same repair same same,13 14 0 9 1,14 0 1 10 2,1 1 6 7,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
57,258837,g900_deferred_gate_candidate_10_11_12_13_06,g900_deferred_gate_receipt_689a27af91cb3838,10,11,12,13,6,10_11 11_12 13_12 13_06,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_1475,0 30 0 0,same repair same same,13 14 0 1 9,14 0 1 2 10,1 1 14 8,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
58,258839,g900_deferred_gate_candidate_10_11_12_13_08,g900_deferred_gate_receipt_269ce3cf1c076c54,10,11,12,13,8,10_11 11_12 13_12 13_08,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,0 30 0 0,same repair same same,13 14 0 1 11,14 0 1 2 12,1 1 14 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
59,258841,g900_deferred_gate_candidate_10_11_12_13_14,g900_deferred_gate_receipt_c624a905e9eedbcd,10,11,12,13,14,10_11 11_12 13_12 13_14,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,0 30 0 0,same repair same same,13 14 0 1 2,14 0 1 2 3,1 1 14 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
60,326476,g900_deferred_gate_candidate_13_08_03_04_09,g900_deferred_gate_receipt_ce4664d0ac177124,13,8,3,4,9,13_08 08_03 04_03 04_09,tuple_edge_2038 tuple_edge_613 tuple_edge_609 tuple_edge_922,0 30 0 0,same repair same same,10 5 0 1 6,5 0 10 11 1,10 10 14 5,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
61,326517,g900_deferred_gate_candidate_13_08_03_09_04,g900_deferred_gate_receipt_9f2e62063fa04c09,13,8,3,9,4,13_08 08_03 09_03 09_04,tuple_edge_2038 tuple_edge_613 tuple_edge_611 tuple_edge_922,0 30 0 0,same repair same same,10 5 0 6 1,5 0 10 1 11,10 10 9 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
62,334129,g900_deferred_gate_candidate_13_12_09_03_04,g900_deferred_gate_receipt_afaf80c578fb3b6e,13,12,9,3,4,13_12 12_09 03_09 03_04,tuple_edge_3070 tuple_edge_2309 tuple_edge_611 tuple_edge_612,0 30 0 0,same repair same same,4 3 0 9 10,1 0 12 6 7,14 12 6 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
63,334140,g900_deferred_gate_candidate_13_12_09_04_03,g900_deferred_gate_receipt_a0fe9a12c55536bb,13,12,9,4,3,13_12 12_09 04_09 04_03,tuple_edge_3070 tuple_edge_2309 tuple_edge_920 tuple_edge_612,0 30 0 0,same repair same same,4 3 0 10 9,1 0 12 7 6,14 12 5 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
64,334443,g900_deferred_gate_candidate_13_12_11_07_10,g900_deferred_gate_receipt_9d7d171ad55e9794,13,12,11,7,10,13_12 12_11 07_11 07_10,tuple_edge_3070 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,0 30 0 0,same repair same same,2 1 0 11 14,1 0 14 10 13,14 14 4 3,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
65,334472,g900_deferred_gate_candidate_13_12_11_10_05,g900_deferred_gate_receipt_d916025c9f0e1462,13,12,11,10,5,13_12 12_11 10_11 10_05,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,0 30 0 0,same repair same same,2 1 0 14 9,1 0 14 13 8,14 14 1 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
66,334474,g900_deferred_gate_candidate_13_12_11_10_07,g900_deferred_gate_receipt_568234021221c9fd,13,12,11,10,7,13_12 12_11 10_11 10_07,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_1760,0 30 0 0,same repair same same,2 1 0 14 11,1 0 14 13 10,14 14 1 12,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
67,334477,g900_deferred_gate_candidate_13_12_11_10_14,g900_deferred_gate_receipt_c0f99d63ee0bf60f,13,12,11,10,14,13_12 12_11 10_11 10_14,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_2587,0 30 0 0,same repair same same,2 1 0 14 3,1 0 14 13 2,14 14 1 4,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
68,345484,g900_deferred_gate_candidate_14_05_04_03_09,g900_deferred_gate_receipt_e06b7dfca7a23ae1,14,5,4,3,9,14_05 05_04 03_04 03_09,tuple_edge_1203 tuple_edge_921 tuple_edge_609 tuple_edge_614,0 30 0 0,same repair same same,10 1 0 14 5,9 0 14 13 4,6 14 1 6,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
69,345525,g900_deferred_gate_candidate_14_05_04_09_03,g900_deferred_gate_receipt_1d3ddf2ef8ca06aa,14,5,4,9,3,14_05 05_04 09_04 09_03,tuple_edge_1203 tuple_edge_921 tuple_edge_920 tuple_edge_614,0 30 0 0,same repair same same,10 1 0 5 14,9 0 14 4 13,6 14 10 9,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
70,350500,g900_deferred_gate_candidate_14_08_03_04_09,g900_deferred_gate_receipt_c96b8fbd03e03577,14,8,3,4,9,14_08 08_03 04_03 04_09,tuple_edge_2039 tuple_edge_613 tuple_edge_609 tuple_edge_922,0 30 0 0,same repair same same,11 5 0 1 6,6 0 10 11 1,9 10 14 5,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
71,350541,g900_deferred_gate_candidate_14_08_03_09_04,g900_deferred_gate_receipt_27a89ab58b3cdca8,14,8,3,9,4,14_08 08_03 09_03 09_04,tuple_edge_2039 tuple_edge_613 tuple_edge_611 tuple_edge_922,0 30 0 0,same repair same same,11 5 0 6 1,6 0 10 1 11,9 10 9 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
