candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,slot_position_match,slot_set_overlap,role_pair_overlap,support_pair_overlap,q_edge_overlap,distance_score,gate_status
258839,10,11,12,13,8,10_11 11_12 13_12 13_08,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,1,2,0,0,0,91,needs_new_gate_receipt
258841,10,11,12,13,14,10_11 11_12 13_12 13_14,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,1,2,0,0,0,91,needs_new_gate_receipt
102151,4,3,8,13,6,04_03 03_08 13_08 13_06,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,0,3,0,1,1,91,needs_new_gate_receipt
222409,9,3,8,13,14,09_03 03_08 13_08 13_14,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,0,3,0,1,1,91,needs_new_gate_receipt
326517,13,8,3,9,4,13_08 08_03 09_03 09_04,tuple_edge_2038 tuple_edge_613 tuple_edge_611 tuple_edge_922,0,3,0,1,1,91,needs_new_gate_receipt
164415,6,12,11,7,10,06_12 12_11 07_11 07_10,tuple_edge_1472 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,0,2,1,1,1,92,needs_new_gate_receipt
164445,6,12,11,10,5,06_12 12_11 10_11 10_05,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,0,2,1,1,1,92,needs_new_gate_receipt
164446,6,12,11,10,7,06_12 12_11 10_11 10_07,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1760,0,2,1,1,1,92,needs_new_gate_receipt
164450,6,12,11,10,14,06_12 12_11 10_11 10_14,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_2587,0,2,1,1,1,92,needs_new_gate_receipt
186421,7,11,9,3,4,07_11 11_09 03_09 03_04,tuple_edge_1759 tuple_edge_2308 tuple_edge_611 tuple_edge_612,0,2,1,1,1,92,needs_new_gate_receipt
258625,10,11,9,3,4,10_11 11_09 03_09 03_04,tuple_edge_2584 tuple_edge_2308 tuple_edge_611 tuple_edge_612,0,2,1,1,1,92,needs_new_gate_receipt
249388,10,5,4,3,9,10_05 05_04 03_04 03_09,tuple_edge_1202 tuple_edge_921 tuple_edge_609 tuple_edge_614,0,2,1,1,0,94,needs_new_gate_receipt
345484,14,5,4,3,9,14_05 05_04 03_04 03_09,tuple_edge_1203 tuple_edge_921 tuple_edge_609 tuple_edge_614,0,2,1,1,0,94,needs_new_gate_receipt
111086,4,9,11,7,10,04_09 09_11 07_11 07_10,tuple_edge_920 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,1,1,0,0,0,96,needs_new_gate_receipt
111105,4,9,11,10,5,04_09 09_11 10_11 10_05,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,1,1,0,0,0,96,needs_new_gate_receipt
111107,4,9,11,10,7,04_09 09_11 10_11 10_07,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,1,1,0,0,0,96,needs_new_gate_receipt
111111,4,9,11,10,14,04_09 09_11 10_11 10_14,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,1,1,0,0,0,96,needs_new_gate_receipt
77698,3,4,5,10,7,03_04 04_05 10_05 10_07,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,1,1,0,0,0,96,needs_new_gate_receipt
77701,3,4,5,10,11,03_04 04_05 10_05 10_11,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,1,1,0,0,0,96,needs_new_gate_receipt
77704,3,4,5,10,14,03_04 04_05 10_05 10_14,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,1,1,0,0,0,96,needs_new_gate_receipt
77743,3,4,5,14,8,03_04 04_05 14_05 14_08,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,1,1,0,0,0,96,needs_new_gate_receipt
77745,3,4,5,14,10,03_04 04_05 14_05 14_10,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,1,1,0,0,0,96,needs_new_gate_receipt
102156,4,3,8,13,12,04_03 03_08 13_08 13_12,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,0,3,0,0,0,96,needs_new_gate_receipt
326476,13,8,3,4,9,13_08 08_03 04_03 04_09,tuple_edge_2038 tuple_edge_613 tuple_edge_609 tuple_edge_922,0,3,0,0,0,96,needs_new_gate_receipt
222414,9,3,8,14,5,09_03 03_08 14_08 14_05,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,0,2,0,1,1,96,needs_new_gate_receipt
222417,9,3,8,14,10,09_03 03_08 14_08 14_10,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,0,2,0,1,1,96,needs_new_gate_receipt
350541,14,8,3,9,4,14_08 08_03 09_03 09_04,tuple_edge_2039 tuple_edge_613 tuple_edge_611 tuple_edge_922,0,2,0,1,1,96,needs_new_gate_receipt
249429,10,5,4,9,3,10_05 05_04 09_04 09_03,tuple_edge_1202 tuple_edge_921 tuple_edge_920 tuple_edge_614,0,2,0,1,0,98,needs_new_gate_receipt
345525,14,5,4,9,3,14_05 05_04 09_04 09_03,tuple_edge_1203 tuple_edge_921 tuple_edge_920 tuple_edge_614,0,2,0,1,0,98,needs_new_gate_receipt
102157,4,3,8,13,14,04_03 03_08 13_08 13_14,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,0,2,0,0,0,101,needs_new_gate_receipt
186432,7,11,9,4,3,07_11 11_09 04_09 04_03,tuple_edge_1759 tuple_edge_2308 tuple_edge_920 tuple_edge_612,0,2,0,0,0,101,needs_new_gate_receipt
258636,10,11,9,4,3,10_11 11_09 04_09 04_03,tuple_edge_2584 tuple_edge_2308 tuple_edge_920 tuple_edge_612,0,2,0,0,0,101,needs_new_gate_receipt
334443,13,12,11,7,10,13_12 12_11 07_11 07_10,tuple_edge_3070 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,0,2,0,0,0,101,needs_new_gate_receipt
334472,13,12,11,10,5,13_12 12_11 10_11 10_05,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,0,2,0,0,0,101,needs_new_gate_receipt
334474,13,12,11,10,7,13_12 12_11 10_11 10_07,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_1760,0,2,0,0,0,101,needs_new_gate_receipt
334477,13,12,11,10,14,13_12 12_11 10_11 10_14,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_2587,0,2,0,0,0,101,needs_new_gate_receipt
350500,14,8,3,4,9,14_08 08_03 04_03 04_09,tuple_edge_2039 tuple_edge_613 tuple_edge_609 tuple_edge_922,0,2,0,0,0,101,needs_new_gate_receipt
102161,4,3,8,14,5,04_03 03_08 14_08 14_05,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,0,1,0,0,0,106,needs_new_gate_receipt
102165,4,3,8,14,10,04_03 03_08 14_08 14_10,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,0,1,0,0,0,106,needs_new_gate_receipt
223691,9,4,5,10,7,09_04 04_05 10_05 10_07,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,0,1,0,0,0,106,needs_new_gate_receipt
223693,9,4,5,10,11,09_04 04_05 10_05 10_11,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,0,1,0,0,0,106,needs_new_gate_receipt
223696,9,4,5,10,14,09_04 04_05 10_05 10_14,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,0,1,0,0,0,106,needs_new_gate_receipt
223736,9,4,5,14,8,09_04 04_05 14_05 14_08,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,0,1,0,0,0,106,needs_new_gate_receipt
223737,9,4,5,14,10,09_04 04_05 14_05 14_10,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,0,1,0,0,0,106,needs_new_gate_receipt
